Cardiovascular Disease,Ozone,PM2.5,Diesel PM,Drinking Water,Lead,Pesticides,Traffic,Cleanup Sites,Groundwater Threats,Haz. Waste,Imp. Water Bodies,Solid Waste,Education,Linguistic Isolation,Poverty,Unemployment,Housing Burden
17.18,0.054,11.44969032,0.251,891.92,86.21,0.00,559.8361609,28.9,0.75,2.28,8,4,39.7,13.9,73.7,18.6,30
24.24,0.046,12.14111892,0.388,380.45,91.30,0.00,805.1329156,53.9,9.5,9.885,0,13.2,54.7,25.6,59.9,7.1,28.4
15.46,0.065,12.06000567,0.452,726.64,63.15,0.00,3927.660141,40.5,11.5,0.355,0,0,40.8,25.5,69.8,11.2,40.8
19.23,0.048,12.30827709,1.076,828.12,91.36,0.00,4013.208536,5.65,1.05,3.9,7,4.75,41.5,10,39.2,8.6,24.5
19.32,0.052,11.87080549,0.265,685.63,68.49,0.00,1006.129331,49.25,33.25,1.95,6,10.8,21,36.9,53.8,13.2,41
12.77,0.043,12.12237612,0.244,373.79,82.13,28.67,875.4572135,69.7,68.25,4.48,5,9.9,38.5,18.2,51.2,6.6,23.1
21.43,0.060,13.91821858,0.625,743.37,81.42,2497.46,245.8278104,19,7.5,0.25,0,5,50.1,33.3,75.2,8.7,26.4
16.69,0.055,11.96074742,0.216,821.08,83.17,0.04,602.1711841,15.95,188.45,1.07,3,1.7,48.9,31.8,62.6,5.4,28.2
17.04,0.046,9.096159717,0.414,265.26,72.39,4.92,1892.222241,218.25,137.75,7.73,18,10.5,19.5,1.2,74.8,24.8,18.4
15.13,0.065,11.41126373,0.368,726.64,69.49,0.00,2560.759679,50.8,5.7,0.78,4,16.45,46.9,6.7,54.3,5.4,35.1
11.07,0.050,12.45587973,0.357,767.52,79.90,0.00,2390.883961,50.1,20.8,0.025,8,8.8,45.2,23,58.9,11.5,23.5
18.77,0.044,12.04697253,0.972,500.35,84.24,0.00,3490.191587,4.65,4,0.615,10,7,51.7,15.8,48.9,10.1,25.2
17.63,0.067,12.35264701,0.537,693.83,84.21,0.00,1416.184446,44.2,37.5,0.73,0,2,37.8,9.7,49.9,10.8,26.6
20.79,0.065,12.08174436,0.184,726.64,89.01,0.00,1392.963629,41.35,10,0.9,0,1.5,33.8,16.3,47.9,9.1,27.9
14.4,0.057,12.02600668,0.622,823.70,78.21,1.45,4410.033774,17.35,62,0.605,3,1.75,38.9,20.4,51.8,6.8,32
27.88,0.044,12.116733,0.436,787.94,80.05,0.00,3525.282743,4.5,5.5,0.15,0,4.5,44.7,13.7,64.1,9.1,34.3
21.82,0.043,12.0881206,0.510,787.94,86.41,0.00,2775.215502,0,5.5,0,7,2.2,47.8,14.3,61.9,7.3,49.4
25.73,0.044,12.06544894,0.284,787.94,75.99,0.00,956.109058,76.6,17.5,1.135,0,0.5,44.9,12.3,91.2,18.4,32.4
14.42,0.043,12.19282827,0.577,339.04,82.51,19.66,2371.319143,11.4,26.3,4.065,7,2.25,29,8.1,40.2,9.7,21.2
18.32,0.064,11.43961966,0.164,726.64,72.72,0.00,1676.067303,41.65,20.8,1.2,0,16.55,41.8,19.4,40.1,6.8,36
18.87,0.043,12.0964657,0.582,803.56,85.62,0.00,3247.400721,5.4,3.75,0.43,7,0.5,33.3,12.8,45.3,7.2,28.2
21.67,0.065,15.81268363,0.548,625.12,74.27,0.00,887.5730984,16.2,10,0.42,0,3,35.4,17.9,76.5,14.7,28.8
16.68,0.060,13.73001704,0.625,733.95,85.91,0.00,2460.086197,9,0,0.28,0,1.5,47.5,12.6,77.7,7,34.9
13.23,0.048,12.47302993,0.989,787.94,93.05,0.00,3291.982798,8.5,6.3,0.755,7,8.1,51.1,17.1,64.2,9.4,35.5
20.87,0.048,12.24094412,0.579,787.94,81.05,0.00,3550.700079,24.15,7.8,8.005,7,1,44.9,23,59.4,2.5,29.9
16.48,0.043,12.04273571,0.468,373.79,91.16,8.29,2588.432656,18,38,0.475,0,1.45,49.7,23.6,64.5,4.2,29.5
10.05,0.060,13.56473948,0.968,888.72,75.84,0.03,1093.522676,6.1,18.5,4.8,0,2.6,41.2,20.5,71.5,14.7,22.4
16.34,0.049,12.18460314,0.699,676.78,87.49,0.00,3107.507264,16.8,3,1.4,7,0.5,53.5,25.2,60.1,8.8,29.5
21.48,0.062,11.51838156,0.242,726.64,68.44,0.00,792.5627615,36.9,36.5,2.935,0,3,37.1,24.3,44.8,6,32
25.73,0.044,12.06896138,0.097,787.94,80.18,0.00,559.8170989,49,32.8,0.37,0,2,53.9,22.3,75.2,10.8,36.2
22.09,0.045,12.14625901,0.180,787.94,96.80,0.00,1152.544557,23.5,17,0.23,0,1.5,48.4,19.8,62.1,7.7,31.5
20.88,0.060,13.71723318,0.699,733.95,82.56,0.00,2784.997451,0,0,0.11,0,6,55.1,24.3,80.6,13.8,35.8
24.73,0.045,12.15052197,0.198,540.06,90.43,0.00,813.5117297,42.25,6.75,3.02,0,2.35,54.4,18.5,62.9,8.7,38.8
17.81,0.069,12.37480713,0.565,693.83,47.41,0.16,1404.468239,23,8.1,2.785,0,1,19.8,12.6,72.3,14.4,28.4
22.68,0.060,13.27786952,0.045,733.95,54.42,2049.02,88.16642645,22,23,0,0,7,37.2,10.5,72.4,17.7,26.3
12.16,0.041,12.06089249,0.282,622.30,73.31,0.06,2548.275568,88.05,49.6,6.58,14,2.8,27.8,16.1,50.5,4.7,40.8
23.74,0.067,12.47661627,0.742,693.83,72.03,0.00,1186.647805,29.25,38.25,0.985,0,0.2,19.3,9.5,46.4,7.7,24.5
22.57,0.040,11.70661336,1.254,339.04,92.09,0.00,696.6015045,0,70.3,0.93,20,2,41.8,11.1,62.6,6.9,44.7
22.41,0.065,15.83431856,1.062,625.12,84.05,0.00,902.2936298,10,12.5,0.5,0,1.5,58.6,26.2,70.7,19.5,33.2
16.69,0.055,12.03999382,0.254,821.08,90.52,0.00,588.4735897,33.5,114.5,1.31,5,7.5,43.7,22.9,52.1,4.1,16.1
9.9,0.050,12.97004897,0.676,817.19,63.54,0.00,2459.873712,63.6,32.6,0.725,8,12.5,36.5,25.1,49.1,5.8,22.8
24.73,0.045,12.15052197,0.198,540.06,96.01,0.00,1010.702094,61.5,8.8,0.775,0,0.5,58,33,70.6,8.4,32.1
16.57,0.055,11.99797143,0.214,903.43,72.25,0.82,1075.398537,14.1,61,0.4,3,2,51,32.8,52.4,NA,26.4
23.93,0.046,12.0818703,0.142,514.47,76.76,2.25,925.9154496,15.15,13,3.275,10,4.4,52.8,33,62.6,6.4,25.3
24.42,0.056,12.77305813,0.342,854.28,75.14,3.40,1164.652395,1.1,23.75,0.685,0,11.5,45,15.2,64.1,14.2,26.2
20.38,0.053,11.87080549,0.254,685.63,65.35,0.00,987.5232579,43.85,15.1,2.68,6,7.3,21.6,33.2,41.3,6.8,27.5
20.18,0.070,11.92427528,0.771,424.83,87.34,0.00,1883.771741,50.1,3,0.385,1,8.5,36.2,16.5,62.7,5.5,29.9
24.18,0.072,11.5389507,0.882,526.18,77.30,0.00,1178.491339,13.8,0.3,0.55,1,1,44,19,69.5,11,35.1
31.2,0.058,12.66649527,0.302,568.93,57.58,0.53,1093.14832,13,22.5,0.31,0,0,58.8,35.7,68.6,13.1,14.7
11.52,0.058,11.93241395,0.295,819.80,86.58,0.03,1531.863351,33,105.8,0.46,3,7,41.5,21.4,51,10.6,31.7
14.75,0.043,12.13197187,0.888,805.75,73.31,0.00,2374.418694,4.95,20.05,0.315,0,6.65,27.9,13.3,50.1,10.9,28.6
27.88,0.044,12.11496733,0.510,787.94,87.71,0.00,3238.402884,5.2,1.5,0.05,0,1.5,47.6,20.4,63.6,8.6,33.7
32.13,0.055,12.19020915,0.521,526.13,82.91,0.00,1042.881892,9.4,71.75,0.245,2,0,33.1,NA,72.7,22.1,35.4
18.39,0.045,12.03418998,0.170,669.13,78.09,0.00,982.9633037,91.25,27.25,2.515,10,9.8,42.5,23.8,32,11.8,18.5
19.66,0.044,12.10418364,0.166,831.38,87.08,0.00,1126.061122,14.5,2,0.535,0,2,56.4,18.3,65.8,12.2,29.4
29.65,0.055,12.22764027,0.286,526.13,78.70,3.51,1156.341186,9.1,79,0.47,2,0,24.8,8,47.8,16,28.7
15.23,0.056,12.44092467,0.520,754.44,70.91,23.01,1466.886544,30.05,10.6,2.75,5,0,25.1,11.8,42.8,11.1,24.7
15.79,0.045,12.062437,0.311,671.72,91.83,0.00,835.6237977,77.15,40.25,1.4,7,10.9,44.9,25.6,44.1,10.3,17.1
22.64,0.062,13.25232473,0.060,778.48,65.73,7186.01,646.7282871,7.5,3,0.15,2,2.2,48.3,30.9,65.9,11,26.7
10.61,0.048,12.70828375,0.772,787.94,26.04,0.05,683.6233014,24.35,31.85,1.855,7,12.85,16.4,35.9,63,8.8,20.7
19.34,0.046,12.10088367,0.494,604.63,77.62,0.00,801.6312981,36.55,40.25,9.995,7,5.1,46.8,27.8,48.3,8.9,27.4
17.77,0.043,12.12536191,0.161,459.74,79.14,0.00,639.0117221,11.75,18.5,1.03,7,2.75,45.2,7.4,61.4,9.5,41.6
19.79,0.069,11.43434633,0.110,630.45,51.48,0.01,1701.370963,20.8,131.6,1.205,0,7.6,32,17.8,57.1,8.9,19.2
13.75,0.057,11.787489,0.629,685.63,55.16,0.00,2364.847876,59.25,85.45,2.16,9,19,27.3,42.2,44.4,7.7,35.3
18.64,0.043,12.08913112,0.341,459.74,95.15,0.00,810.6770411,61.5,37.55,19.69,0,3.5,42.6,9.5,63.2,11.4,30.1
13.14,0.049,12.41775036,0.942,488.79,82.36,0.00,1663.608361,5.5,44.3,0.515,6,5.5,52.9,25.3,62.8,8.5,32.3
23.64,0.043,12.10553008,0.602,373.79,74.82,0.00,2797.270786,27,3.5,0.03,0,8.1,33.8,16.6,58.4,8,36.8
15.35,0.048,12.30827709,0.795,770.36,84.16,0.00,4050.333875,9,1.8,2.66,7,0,49.8,20.2,53.8,6.7,33.9
21.02,0.043,12.08865447,0.204,521.51,92.21,0.00,850.0133692,4.4,40.55,6.715,7,1.45,48.3,13.8,64.1,6.4,31.9
16.25,0.043,10.39058624,0.368,312.86,82.79,0.00,1429.379206,1.5,64.5,1.945,17,10,39,17.6,66.9,6.6,33.1
18.6,0.043,12.11120264,0.313,527.66,87.61,0.17,792.6218994,17.1,36.3,2.97,0,7.75,35.9,7.4,33.2,10.2,20.7
18.06,0.046,12.21219619,0.177,787.94,91.10,0.00,487.4645779,17.65,3.1,5.5,7,3.55,54.9,14.4,62.8,7.3,35.3
24.67,0.043,12.12382492,0.354,535.15,84.68,0.00,2336.401295,1.75,21,0.1,7,2,54.1,20.2,54.9,8,25.9
18.97,0.043,12.09974001,0.649,787.94,90.42,0.00,3162.308044,0,3,0,7,2.65,36.6,10.5,54,10.2,30.5
20.88,0.060,13.81665248,0.253,733.95,92.65,0.00,1609.502719,0,0,0.11,0,6,55.6,28.2,76,11.4,25.8
25.97,0.040,11.70661336,1.186,339.04,90.81,0.00,525.5394672,0,51.8,0.535,19,0.3,47.5,15.4,65.6,12.2,34.2
22.83,0.045,12.15277014,0.401,540.06,95.40,0.00,1019.759087,118.4,8.1,1.485,0,1.1,59.6,26.4,60.7,4.8,26.8
20.82,0.064,11.99025794,0.344,726.64,61.35,0.00,1223.664584,41.35,1,2.705,0,3,22.4,27.8,44.3,12,19.5
21.43,0.073,11.36870408,0.343,404.58,77.78,0.00,1119.861894,43.2,2,0.82,1,1,42.8,38.2,74.5,NA,20.1
24.68,0.043,12.10598268,0.214,459.74,87.54,0.00,788.2341464,0,33.15,2.775,7,3.5,48.2,13.8,55.9,10.3,24.8
18.57,0.062,11.56904887,0.224,726.64,69.88,0.00,1078.155377,36,20,0.555,4,1,27.4,24.1,44.7,10.1,36.9
22.77,0.045,12.15277014,0.245,787.94,93.57,0.00,626.5593905,91.7,7.55,1.265,0,1,57.9,22,61,5.8,31.4
21.22,0.036,9.095673213,0.411,299.97,75.59,0.43,1032.450718,9.1,47.25,0.775,14,5.5,24.7,17.6,34.6,12.7,25.2
18.84,0.044,12.03711727,0.374,500.35,92.19,0.00,2041.041484,9.75,5.5,0.375,7,0,42.6,17.5,59.2,8.3,34.8
12.41,0.029,9.08286493,0.633,110.41,87.19,0.00,1658.41929,68.95,242.35,1.43,16,14.2,37.9,12.9,50.1,11,35.5
18.57,0.043,11.92992332,0.568,443.83,68.98,0.00,1938.556275,25.4,80.3,14.625,0,2.75,21.8,5.2,50.6,7.3,26.7
20.85,0.062,11.80687777,0.696,726.64,57.32,0.00,1063.396908,36.25,0,0.785,0,1.5,25.5,26.2,55.1,11.5,35.2
20.87,0.048,12.25496306,0.780,813.46,83.14,0.00,3824.66063,6.5,4.5,2.36,7,0.5,54.9,25.8,55.2,6.5,24.7
15.57,0.050,12.15638623,1.372,678.37,78.54,0.00,2559.699566,8.7,1.5,0.525,0,9.5,39.8,30.1,47.9,9.2,24.6
16.16,0.060,13.75766747,0.625,733.95,85.46,0.00,2091.787221,9,0,0.36,0,0,30.5,16.2,62,11,32.6
21.79,0.045,12.10765122,0.226,787.94,91.66,0.00,717.1675568,99.65,16.75,0.345,0,2.7,52.9,16.1,62.7,5.1,39.4
20.85,0.043,12.10169951,0.262,805.08,84.89,0.00,4387.044921,0,3,0.05,7,2.75,36.8,12.8,65.2,6.4,30.9
