Cardiovascular Disease,Ozone,PM2.5,Diesel PM,Drinking Water,Lead,Pesticides,Traffic,Cleanup Sites,Groundwater Threats,Haz. Waste,Imp. Water Bodies,Solid Waste,Education,Linguistic Isolation,Poverty,Unemployment,Housing Burden
11.8,0.046,11.74226684,0.678,440.64,26.34,0.00,2033.178603,8,15,0.96,7,0.45,8.6,2.1,19,1.4,22.1
14.17,0.062,7.977328026,0.059,518.84,53.76,0.00,2320.788124,0,0,0,1,0.7,17.1,NA,42.4,5,15.1
6.8,0.029,8.601749206,1.964,258.79,38.74,0.00,1059.738546,24.05,15.3,6.575,0,0.6,10.5,11.4,33.3,6.1,23.1
9.18,0.043,12.45063954,0.299,301.36,48.07,0.00,855.223558,0,10,0.05,0,0.7,39.8,25.3,55,14.3,19.7
8.43,0.047,9.131580295,0.225,279.88,51.19,0.12,643.9849682,36.9,24,0.3,1,0,11.6,0.8,64.7,10.9,40.5
10.43,0.032,8.747823793,1.389,258.79,67.79,0.09,2347.634269,1.1,0,0.105,9,2.1,25.3,13.9,27.3,6.7,23.5
15.92,0.031,7.491220935,0.092,291.22,71.65,447.74,363.7968032,0,20.5,0.42,4,0.2,37.2,18.1,49.2,12.2,16.8
13.23,0.042,8.967496753,0.212,748.82,28.17,64.37,1808.02876,0,16.3,0.73,0,0,17.1,4.9,11.5,5.4,14.1
17.13,0.045,8.624798898,0.357,405.14,23.30,0.00,1675.845428,1.7,0.75,0.625,1,0.5,13.3,8.9,29.9,12.9,16.7
20.87,0.036,8.629303968,1.350,186.66,85.54,0.00,4760.845737,0,15.6,0.345,0,0,21,9,14.3,4,11.2
18.98,0.046,10.52368125,0.262,604.14,28.16,117.63,843.7474727,1.75,12.5,0.29,0,1,22.4,6.6,36.4,4.6,14.4
14.57,0.038,11.55914703,0.192,391.08,56.74,0.00,389.698611,11.2,122.5,0,8,0,7.1,8.2,29.5,7.9,18.7
19.9,0.054,10.65766119,0.033,742.93,32.98,979.97,347.8624662,15.7,64.2,0.14,8,23,11.2,7.3,18.8,2.5,9.8
15.38,0.058,11.56304345,0.497,726.64,5.64,8.23,2500.157901,0,15,0.185,4,0,8.7,4.5,15,3.1,16.3
15.8,0.061,11.30021963,0.012,724.93,8.93,18.85,1754.004251,15,5.5,0.525,0,11,10.1,3.3,22.1,4.5,10.6
7.73,0.029,8.660772738,2.179,258.79,62.38,0.00,1003.458183,5.4,3,3.075,10,0,11.2,16.1,36.9,12.3,26.8
16.89,0.064,7.410784666,0.004,336.91,42.90,6390.82,152.0570539,0,0,0,0,0,32,15.5,51.9,11,21.9
11.55,0.032,8.092157715,0.417,384.31,78.65,0.00,868.6418635,35.25,120.85,1.28,0,0,12.6,9.5,21.2,5.1,20.1
8,0.034,7.942872629,0.257,430.16,81.53,0.00,868.7142532,10,9.25,0.52,0,1.5,37.3,20.9,43.6,3.4,30.7
13.54,0.040,9.082305054,0.381,291.53,82.16,0.00,1207.583601,0,24,0.11,3,0,32.2,18,29.7,4.6,29
21.48,0.049,8.944074352,0.378,469.90,33.26,0.00,2334.32706,7.4,4.5,0.25,5,0,13.8,8.3,31.3,5.1,14.9
8.93,0.059,11.38721662,0.081,694.97,83.11,0.00,798.7383414,1.2,3.75,0.05,2,4,17,6.9,33.7,7.3,25.2
13.59,0.056,11.20096803,0.041,891.18,52.20,2956.01,149.2348826,1.5,60.75,0.1,7,3,17.3,4.3,28.3,8.9,10.9
20.87,0.036,8.706342015,0.240,186.66,69.91,0.00,3473.195557,0,10.5,0.335,0,0,17.6,16.2,24.3,6.1,15.5
14.92,0.055,11.46741193,0.035,1009.84,17.89,0.00,674.4589184,0.5,0,0.17,6,2.75,18.2,7.2,41.3,7.8,11.8
12.29,0.045,11.76013155,0.313,440.64,46.25,0.00,731.8543413,0,9.25,0.275,5,0,7,12.2,17.5,6.5,28.5
8.05,0.045,8.65141736,0.303,300.67,41.65,0.39,1056.234747,17.5,19.5,0.86,4,16,28.6,15.2,46.6,4.4,26.1
9.2,0.034,8.690205961,0.179,296.56,78.51,0.00,2796.047164,1,41.5,0.585,10,0.75,28.3,14.9,44.2,5.9,21.4
26.81,0.058,10.05263638,0.010,330.35,65.20,0.00,580.7089755,0.1,10,0,5,5,16.6,6,54,6.9,29
8.45,0.048,12.06694117,0.243,685.45,71.47,0.00,3039.436159,0.3,7.5,0.245,0,0,13.7,7.4,33.1,5.4,16
9.89,0.034,8.585453888,0.404,258.79,71.97,0.00,1896.573248,0,5,0.35,2,0,11.2,14.1,47.1,10.2,38.5
22.81,0.050,11.87620582,0.201,670.58,68.35,0.00,1000.422489,0.25,9,0.36,0,0,9.2,2.3,25.9,5.2,9.1
11.1,0.047,8.154595476,0.037,679.87,47.34,719.10,204.3396907,3.4,38.9,0.125,14,9,32.1,5.9,36.9,11.2,10.9
22.39,0.072,9.790050436,0.141,321.03,5.13,0.33,3314.792673,0,0,0.1,0,2,6.7,4.2,21.4,6.2,15.6
27.98,0.052,8.480745141,0.063,432.87,53.92,2024.47,98.59601419,0,1,0,11,2,20.4,7,35.2,6.2,11.6
11.04,0.038,9.728985167,0.231,394.28,72.14,0.00,641.2149624,11.5,41.75,0.25,2,2.2,19.1,11.4,25.9,3.9,15.9
21.11,0.050,11.92720438,0.065,787.94,62.24,0.00,1110.908573,0,0,0.43,6,0.2,3.6,4.5,13,6.6,14
12.33,0.048,11.85554635,0.166,787.94,84.43,0.00,1032.33664,0.25,4.5,1.275,0,0,2.7,15.3,18.6,3.3,27.3
21.14,0.056,11.77652636,0.090,807.26,18.20,4845.62,704.3506538,0,36.5,0.05,2,5,15.1,5.2,11,4.9,8.3
9.75,0.048,11.92138887,0.229,473.40,81.62,0.00,2546.841381,9.95,2,0.14,0,0,29.7,11.9,26.3,4.5,12
24.33,0.064,10.25693502,0.207,237.48,21.83,0.00,1296.231351,0,0,0.3,0,0,15.8,5.7,44.3,10,25.4
15.36,0.044,11.87615491,0.097,657.00,67.10,0.00,958.5409781,0.7,10.75,0.1,0,0.2,3.9,0,16.5,11.4,23
11.87,0.038,6.157987235,0.190,330.22,51.12,17930.95,484.1562128,1.85,30,0.025,18,0.25,30.8,22.5,46.1,0.7,16.8
21.77,0.072,10.44958913,0.052,237.48,34.96,23.49,334.0941083,0,7.5,0.235,0,5,19.1,1.1,28.6,4.3,18.4
14.98,0.034,5.599569861,0.170,430.30,55.86,27.28,1173.052397,0,0,0.4,0,0.5,34.6,7.4,37.7,6.7,19.8
10.41,0.048,11.52811133,0.201,406.66,52.30,0.09,1044.710563,0,12,0.36,0,1.25,20.8,10.7,37.2,1.7,17.6
14.4,0.062,12.78350118,0.109,967.86,37.15,6.36,1309.992758,0,0,0.12,3,0,10.1,5.3,26.1,5.1,12.5
23.65,0.062,7.054248982,0.057,564.50,45.57,0.00,436.977424,0,0,0.125,0,0.2,17.1,3.9,50.7,6,22.7
17.18,0.045,8.879462641,0.063,265.26,55.26,0.00,647.8560587,3,2.5,0.025,4,0.5,40.1,15.7,62.2,9.5,28.6
6.18,0.029,8.646736357,1.694,258.79,74.11,0.00,803.3288867,18.7,1.5,3.435,0,0,25.4,25.2,47.7,2.8,32.3
19.2,0.062,7.437828814,0.105,274.75,68.91,153.79,628.578847,0,0,0.05,0,0,60.4,72.5,69.2,19,27
14.12,0.029,9.128027341,0.212,110.41,60.10,0.00,932.2571034,13.8,53.25,1.255,10,0,6.3,2.3,24.2,2.9,20.1
16.51,0.042,11.67890635,0.036,303.04,61.03,0.04,378.8638145,20,11,0.15,34,0,5.7,2.9,39.2,4.2,19
18.77,0.049,11.02846162,0.090,956.48,28.19,0.52,594.1068766,9,2,0.41,0,2,12.1,0.6,22,3.8,17.8
23.3,0.062,7.800967181,0.121,289.80,43.45,0.00,609.6974013,0,0,0,0,0,29.3,9.5,64,8.5,21
13.45,0.067,10.91960855,0.083,681.45,44.32,0.16,2415.424348,0.4,0.5,0,0,1.65,18.4,17.9,22.9,5,14
8.91,0.047,12.02897507,0.200,787.94,49.00,0.00,1248.867438,1,5,0.35,0,0.25,14,35.4,38.8,7.6,35.5
19.63,0.051,11.96654299,0.167,477.32,77.10,0.00,895.6854709,1.2,0,0.125,3,0.2,11.7,5.9,25.9,3.2,14.8
11.92,0.036,9.038689148,0.444,299.97,65.73,0.00,2217.912621,5,2,0.05,9,0,9.5,3.4,29.8,10.1,18.4
13,0.059,12.01491957,0.258,726.64,36.34,0.01,3650.02292,0,14.55,0.225,4,0,5.1,9,15.5,8.5,21.8
10.84,0.062,13.50832495,0.248,868.06,13.29,120.46,453.4749826,17,1.5,1.13,0,4,5.7,0.8,17,6,15.4
14.8,0.047,11.95109727,0.087,481.19,89.55,0.00,516.8035113,0,1,0.06,0,4,19.8,7.2,19.3,5.1,17.5
10.1,0.049,11.89127311,0.729,787.94,34.75,0.00,1457.240744,25.5,87.25,0.55,0,3,7.6,4.4,31.7,5,25.2
13.97,0.051,9.277627448,0.147,432.87,40.84,8.02,1100.709414,0,27.5,1.475,18,6.5,10.1,4.9,16.6,7.4,10.7
12.77,0.058,11.53704074,0.227,726.64,52.50,0.00,1370.046443,0,1,0.23,6,0,7.8,5.9,22,4.3,24.6
15.32,0.055,12.63295375,0.075,852.66,47.40,0.00,565.8988308,0,17.75,0.2,0,0,24.6,16.3,64.8,6.1,28.2
8.3,0.029,9.0547552,0.234,110.41,80.93,0.00,1584.455285,0,33,0.1,1,0,25.4,20.8,37.6,4.7,30.6
8.67,0.041,8.864757636,0.124,663.99,50.13,468.77,672.7390172,5,17.5,0.25,0,0,23.8,10.5,39.9,7.6,18.7
12.45,0.036,8.526023184,0.454,186.66,63.91,0.00,1244.573723,4.5,24.5,0.275,1,0,16.2,17.1,32,3.3,25.9
7.51,0.029,8.714174551,0.529,258.79,75.10,0.00,545.2111353,1.3,20,2.1,10,0,48.4,58.5,56.9,8.4,27.7
14.12,0.034,8.493280318,0.245,309.36,70.84,0.06,1729.54492,0.5,35.25,0.355,0,0,11.2,11,15.8,8,19.5
15.01,0.049,11.95564323,0.058,824.59,75.11,0.00,1205.130996,0,4.05,0.375,6,0.2,6.3,7.4,23.8,5.4,15
10.62,0.032,8.657167779,1.092,258.79,69.50,0.00,1405.378255,4.5,17,0.16,0,2.1,18.9,14.3,18.7,5.4,20.2
9.93,0.060,13.70566589,0.190,733.95,68.99,0.00,790.7230922,0,0,0.05,0,0,17.9,7.3,45.1,2.2,19.1
17.62,0.047,9.087176113,0.084,632.38,37.56,0.00,646.6561482,0,0,0.155,7,0,7.7,2.2,61.4,7.8,31.9
13.58,0.067,11.20058307,0.137,726.64,56.48,0.00,3423.479442,0,0,0.15,3,2.2,9.5,2.1,16.8,7.6,15.4
13.17,0.046,10.57025838,0.175,616.16,40.99,3.30,1778.552921,0.1,3.75,0.2,11,0,7.8,6.8,32.4,8,20.5
11.5,0.038,6.415196478,0.068,303.31,75.10,34.90,290.585222,25,39,0.2,6,6.25,25.8,14.4,49.5,4.4,17.4
9.8,0.053,12.00161681,0.092,776.68,62.26,1.74,473.5709701,9,1,0.09,1,2,27.6,20.8,34.3,5.1,17.7
12.69,0.034,7.637161738,0.236,246.37,85.17,0.00,610.0206896,0,1,0.545,9,4,39.2,23.8,58.3,5.1,26.6
8.7,0.051,12.23579771,0.577,435.94,43.15,0.00,1971.092152,13,20.5,0.2,5,2,16.1,29.2,20,6.5,19.9
17.3,0.073,10.96200005,0.133,747.84,32.58,0.00,923.9724583,0,0,0.32,1,0,24.4,1.4,49.4,NA,14.1
13.1,0.036,9.177711672,0.342,299.97,83.99,0.00,1482.345544,1.7,2,0.075,0,0,5.4,NA,32.7,7,24.1
12.3,0.050,11.79372492,0.472,787.94,44.33,0.00,1361.890682,13.05,68,0.53,0,0.3,2.1,19.8,32.7,6,19.9
12.26,0.067,11.0285217,0.189,673.64,55.89,0.00,539.8754624,0.8,5.25,1.565,0,1.15,31.9,15.8,29,2.1,12.2
9.23,0.060,13.48518187,0.140,873.91,17.06,0.00,870.4550453,9.25,8.25,0.05,2,0,15.9,3.9,37.3,2.7,16.6
11.09,0.043,11.30920422,0.206,349.16,16.43,0.34,830.1184444,17.7,13,1.28,1,8.45,15.5,8.9,20.9,4.9,21.5
12.88,0.059,12.13753758,0.127,767.83,59.36,0.00,628.096292,0.9,0,0.235,0,0.5,9.2,10,32.1,8.6,17.3
9.14,0.070,12.04545115,0.176,726.29,51.45,0.00,422.6250964,0,0,0.55,0,0,34.4,5.2,49.1,14.2,27.3
15.56,0.044,4.324053055,0.069,377.53,51.65,5.75,418.7323356,10.9,30.5,0.2,3,1.5,14.7,0,56.6,6.3,25.6
14.29,0.043,10.33816445,0.041,312.86,80.23,0.00,362.1057838,1,0,0,12,0,32.2,8.3,58.5,14.4,24.4
16.71,0.067,12.52610957,0.125,568.74,24.89,0.00,522.0163516,0,0,1.145,0,0,21.4,5.8,26.1,6.3,13.8
21.15,0.050,8.715724961,0.257,705.70,49.88,0.00,748.194093,0,0,0.12,0,0,14.6,6.7,50.8,8,20.4
17.09,0.051,10.84836643,0.096,447.38,32.49,561.02,462.6568793,7,9.75,0.25,0,8,13.1,2.4,25.3,4.5,15.2
21.49,0.050,8.821541113,0.044,506.59,90.47,0.00,618.9564897,12.4,7.5,0.225,0,0,13.4,5.5,41,4.7,17.7
18.49,0.059,11.67692826,0.060,726.64,51.56,0.00,859.7631366,36.1,0,0.04,4,0,12,2.4,19.1,6.8,21.5
16.1,0.049,9.171030169,0.128,693.49,13.42,152.08,948.8931295,13.25,58.75,0.7,11,1,9.3,4,11.4,4.2,12.5
15.95,0.065,6.663110563,0.009,750.17,29.93,78.36,334.9955701,4,19,0.175,0,23.95,21.2,2.9,39.3,7.1,11
10.77,0.044,9.945652377,0.109,312.86,73.02,0.00,516.2522978,3.5,0,0.035,12,0,47.2,26.9,66.4,4.1,32.7
10.99,0.048,8.013650084,0.136,342.91,62.88,13.11,432.6761341,0,8.25,0.245,12,5,21.3,11.5,43.5,5.4,22.9
9.83,0.038,8.363883126,0.373,389.03,72.13,0.00,2923.009737,56.95,118.55,0.795,1,0,18.4,22.4,20.1,4.4,19.3
8.49,0.032,8.646147466,0.199,258.79,68.73,0.00,329.3058046,9.35,1.8,0.785,9,0,31.7,18.2,30.6,6,29
9.75,0.040,8.680251509,0.488,291.53,74.99,0.00,1777.079752,22.7,23.1,0.295,3,0,13.9,8.5,16.8,4.4,19.2
25.26,0.027,5.746661295,0.026,312.76,38.37,0.00,309.3190481,13,32,0.5,1,19.25,19.1,2.6,43.8,18.6,27
10.99,0.029,9.740708725,0.496,110.41,43.42,0.00,517.4194447,18.35,166.15,1.295,11,1,7.5,12.9,24.2,1.8,13.9
10.47,0.042,11.84295139,0.065,462.53,77.70,0.00,1057.211865,0.7,3.5,0.195,0,3.25,15.8,5.8,15.7,5,20.9
12.95,0.048,8.22936149,0.068,342.91,57.03,0.00,540.4243375,0,22.5,0.385,12,0,41.5,15.4,63.7,8.6,22.2
19.34,0.065,11.02077993,0.004,604.66,52.40,1.21,240.9501544,0,2,0,0,4,44,15,42.5,11.4,12.6
23.05,0.060,13.47318337,0.038,520.58,50.22,1.38,332.5458386,0,0,0.1,0,0,34.8,24.7,38.9,8.2,16.4
20.87,0.036,8.640648628,0.398,186.66,81.31,0.00,1231.430874,0.75,23.5,0.11,0,0,18.3,16.4,31.6,7.9,14.8
10.97,0.067,10.31080399,0.056,586.10,38.23,0.00,1628.938565,0,0,0,2,2,22.3,NA,25.4,10.7,24.6
17.17,0.043,5.147995358,0.013,490.02,41.47,278.65,240.0223417,7,23.5,0.1,7,2,53,31.6,50.9,6.2,23.5
11.51,0.049,9.323229283,0.193,487.76,43.04,0.00,2155.063668,0.25,3,0.5,11,0,20.7,15,34.8,5.1,17.4
16.19,0.044,8.748100393,0.052,265.26,66.52,0.00,506.3732137,0,22,0.02,10,0,26.6,11.9,47.1,11.7,18.5
16.31,0.066,10.23715755,0.119,237.48,38.63,7.47,1689.324583,0,0,0.2,0,1,36.1,6.2,55.6,7,22.8
14.21,0.048,9.167676388,0.137,448.23,29.34,1384.84,705.0808674,0,0,0.485,12,2.5,12.3,5.2,24.4,4.4,21.1
8.97,0.040,11.69864079,0.379,410.23,52.65,0.00,1122.742958,2.25,18.25,0.54,0,3.2,13.3,7.1,31.7,4.9,22.3
10.27,0.056,12.07784169,0.042,756.45,80.50,0.00,662.4449774,0,1.5,0.37,3,0,21.4,17,27.7,4.1,16.1
21.73,0.062,14.12231228,0.042,690.27,43.43,36.17,335.2675479,0,1.5,0.025,0,0,21.5,19.4,38.7,5.4,15.9
12.95,0.041,11.93383509,0.145,320.16,44.67,0.00,1121.230536,27.5,29.75,0.91,3,4.1,3.7,13.8,13.7,4.4,11
14.17,0.059,11.92861991,0.089,365.81,75.90,0.00,722.3708807,1,12,0.13,0,0.5,22.3,5.9,48.2,9.6,14.8
10.29,0.044,12.52284614,0.109,298.15,29.42,0.00,694.1635153,9,29.7,1.185,2,18.85,19.2,9.3,17.5,4.9,13.1
10.71,0.049,8.446836265,0.151,371.56,59.77,990.56,438.6363572,40.7,60.4,0.29,2,7.5,6,0,57.7,12.6,28.6
11.65,0.039,8.370743131,0.364,430.43,52.90,0.00,1497.89312,35.7,41.35,0.9,2,3.25,11.1,13.5,30.7,2.3,26.3
11.95,0.072,11.36749413,0.065,797.61,11.71,54.17,583.4151109,8,11,0.485,1,14,5.9,5.4,18.1,6.5,12.1
11.93,0.059,12.31930079,0.297,527.33,27.24,0.00,1342.279129,0,0.75,0.955,8,2.1,8.8,NA,16.9,4.6,22
12.24,0.058,12.02349439,0.192,365.81,77.98,0.00,1674.331054,3.5,0.3,0.15,3,0,15.7,9.5,37.3,4.7,13.8
15.03,0.060,12.1740827,0.398,437.61,50.81,0.00,1929.48163,0,0,0.12,0,0.5,11.3,5.7,24.7,5.7,18.2
13.05,0.065,11.70425543,0.085,726.64,26.04,0.00,889.1301489,0.25,0,0.32,3,10,3.6,6.8,20.2,5.9,21.2
18.35,0.058,11.80268144,0.449,726.64,37.97,0.00,5306.142547,0,3,0.12,9,0,1.8,6.9,12.9,NA,18
11.93,0.043,12.84803527,0.445,328.76,44.44,0.00,1763.283039,0,0,0.21,2,1,23.2,8.9,23.7,9.7,16.2
21.22,0.062,8.370674158,0.042,289.80,33.09,0.00,840.1540351,0,0,0.21,0,0,25.3,8.5,44.9,13.9,21.6
16.42,0.064,5.267699264,0.001,710.12,41.05,0.07,190.4509175,19.6,3.5,0.125,0,10.25,18.9,2.1,55,18.5,20.1
6.9,0.044,9.446847997,0.785,312.86,46.10,0.00,2313.314449,7,12.5,0.565,8,2,14.2,4.9,32.7,6.7,18.6
18.4,0.036,8.716672921,0.589,186.66,79.66,0.00,3342.745751,0,9,0.245,0,0,23.5,7.9,19.4,3.9,6.9
9.72,0.045,12.81993006,0.104,302.85,30.64,0.00,5129,10,23,1.325,20,8,23.2,12.7,22,4.4,12.7
15.98,0.059,6.383572771,0.007,530.12,66.64,0.00,69.70177547,6,88.75,2,2,11,14.9,0.7,47.5,9.9,7.9
11.24,0.044,11.77801801,0.356,399.95,72.15,0.00,2077.096205,9.9,45.75,0.595,8,0.25,8.4,8.8,14.9,3.3,25.1
15.55,0.054,11.17537305,0.082,891.92,31.93,70.67,688.6330236,0,0,0.06,4,0,7.1,3.2,27.7,10.3,10.4
22.47,0.048,7.403507696,0.003,551.05,44.55,2.89,380.1248932,23.4,14,0.35,2,24.5,23.5,4.6,48.4,NA,10.5
5.49,0.044,9.984326548,0.368,312.86,32.28,0.00,905.5370831,22.7,56.7,3.02,13,2.2,NA,5.3,35.1,4.7,18.8
11.58,0.052,12.22935789,0.156,435.94,33.13,0.00,566.5573917,3,4.8,0.085,5,0,18.2,14,21.6,4.9,15.5
11.61,0.041,11.83702161,0.066,339.04,69.60,0.00,951.2175963,0,0,0.41,11,0,17,6.6,32.6,4.1,16.6
23.52,0.070,11.45488257,0.042,237.48,40.01,0.00,580.2481601,0,0,0.21,0,0,37.7,11.1,56.6,6.4,21.4
15.11,0.032,7.709761345,0.289,373.85,45.96,0.00,1395.58474,0,28.25,0.435,6,1,13.3,7.9,33.9,3.4,30.1
9.87,0.048,11.77429518,0.460,440.64,25.86,0.00,4623.029151,11.75,11,0.87,0,9.95,11.7,6.5,22.5,1.4,25.5
8.29,0.053,11.72684954,0.215,801.23,61.17,0.00,2794.416207,0,3,0.46,0,9,8.4,6.8,21.1,3.7,14
15.29,0.044,8.825884274,0.117,265.26,61.31,0.00,603.1326616,0,27,0.1,5,0,21.7,16,56.7,8.5,25.2
11.59,0.044,11.53465186,0.322,365.83,45.98,4.65,2439.200334,2.25,18.5,0.305,0,0,10.5,14.5,20.1,4.6,16
9.3,0.053,11.68192709,0.185,805.15,51.39,0.00,1335.725289,2.75,3,0.1,2,0.5,13.9,6.3,34.8,6.6,25.6
13.32,0.038,9.874048183,0.270,394.28,74.55,0.28,881.8079378,0,21.5,0,0,0,41,11.8,34.5,5.9,15.1
18.64,0.056,12.8954064,0.113,937.76,32.65,0.00,446.2031065,0,0,0.575,0,0,19,6.2,22.1,6.8,16.9
15.28,0.045,8.399921942,0.046,650.90,47.29,106.19,562.5389294,0.2,27.5,0.3,13,1,14.1,2.6,38.1,7.7,20.5
19.83,0.062,8.490291405,0.001,1086.75,26.50,7.10,61.0566991,4,38.5,0.1,3,20,8.6,4,54.8,NA,8.7
13.33,0.059,11.52942462,0.233,726.64,54.13,0.00,2859.984428,18,1.75,0.185,0,0.2,4.7,4.6,35.9,6.4,16.7
20.24,0.049,8.703420029,0.031,253.36,58.30,0.00,491.8059146,12,14.5,0.12,1,2.5,20.1,5.4,38.3,5.5,17.8
9.43,0.053,12.00233411,0.171,748.70,51.71,0.00,869.0629537,0,0,0.15,0,0.5,24.6,43.7,50.7,4,26
19.97,0.061,7.508740692,0.017,320.97,34.62,0.00,462.4803594,12,9.9,0.11,5,5,19.8,4.5,38.6,13.8,16.6
8.87,0.038,6.260546724,0.075,330.22,67.77,142.12,776.2769583,0,30.6,0.52,9,0,47,20.6,43.5,11,13.5
8.25,0.034,7.726091887,0.166,246.37,70.09,973.04,452.6251679,0.4,5,0.575,9,0,59.3,21.7,51.3,2.4,32.2
21.11,0.050,11.92720438,0.082,787.94,48.22,0.00,1382.72165,0,0,0.305,6,0.5,2.2,4.2,17.7,5.1,19.8
8.33,0.035,7.806554192,0.093,340.00,26.48,38341.41,558.0015965,11,36.1,0.17,19,6.5,27.3,9.7,25.1,6.6,17
13.42,0.041,8.413359362,0.169,291.53,53.87,0.00,1058.911184,14.2,8,0.05,3,6,23.9,16,11.8,2.4,25.8
12.63,0.045,11.58282886,0.165,351.74,43.36,0.00,1056.443725,0,15,0.2,0,0,22.6,26.1,39.2,5.9,22.9
21.22,0.060,13.43311655,0.033,628.98,22.14,465.38,284.1017561,0,0,0.125,1,0,16.6,9.7,37.1,5.7,19.3
11.27,0.060,4.841161005,0.090,368.35,54.06,3.17,552.388425,51.4,38,0.36,3,5,7.4,0,31.8,6.6,21.3
16.19,0.054,11.16618421,0.072,891.92,33.11,0.74,885.9578377,0,6,0.2,4,0,12.7,4.9,25.4,9.8,13
26.88,0.069,6.184452377,0.020,555.06,50.52,0.00,165.3234108,12,5.75,0.1,0,1,12.6,7.2,57.1,14.4,20.8
16.92,0.061,6.943566757,0.013,713.41,31.65,0.16,310.3355213,34,34.35,2.625,0,7.6,10.4,0.6,25.6,5.4,12.8
10.11,0.046,12.00021132,0.092,471.41,56.74,0.02,835.0893825,0.9,0.6,1.28,0,2,15.5,20.4,43.3,6.4,20.2
13.78,0.029,9.06598925,0.987,110.41,90.00,0.00,482.2053564,8,6,0.02,1,0,24.4,14.2,40.5,6.3,14.9
16.39,0.057,8.237932892,0.026,374.72,67.85,0.00,604.9760466,24,22.5,0.26,1,4,10.3,4,44.1,4.8,25.1
10.22,0.058,11.68274338,0.110,618.56,60.69,9.46,760.782582,13,29.6,0.2,0,1,10.7,19.7,25.7,7.1,16.6
13.69,0.041,8.464617057,0.176,291.53,68.93,0.00,1304.387077,4.6,17.45,0.01,3,0.9,25.2,20.8,38.5,3.3,24.5
15.23,0.064,13.50457448,0.154,800.07,26.48,0.00,728.0743665,7,1.5,0.37,1,3.6,5.2,10.7,25.5,6.7,12.7
10.92,0.058,11.25188699,0.386,634.13,45.73,0.00,1045.799608,5,0.3,0.01,2,7,3.5,3,12.2,8.2,10.7
13.2,0.059,11.31242478,0.186,726.64,43.87,5.09,1047.952483,1,28.75,0.27,4,0,9.4,5.1,11.4,NA,15
8.66,0.048,12.12448045,0.325,669.80,56.56,0.00,747.9414091,0,2,0.535,0,0,21.7,6.7,30.7,5.8,23.5
20.05,0.045,8.772360135,0.045,744.51,17.59,3124.44,557.8585753,0.1,7,0.125,10,5,17.7,0,20.6,8.1,10.4
11.99,0.046,10.45644198,0.076,390.45,43.84,0.00,1423.643405,0,0,0.35,9,0,13.1,5.7,32.3,8.7,23
11.26,0.040,8.924794679,0.849,291.53,16.30,0.00,1424.329111,15.95,245.5,3.07,4,0,8.4,9.6,22.5,3.2,15.3
6.48,0.048,12.19449024,0.511,787.94,58.50,0.00,1830.797472,19.95,10,1.045,0,0,14.3,21.7,41.9,3.8,26.2
8.09,0.060,13.05253739,0.146,726.64,58.08,0.21,3153.781923,1.8,3,0.15,10,5.5,8.8,6.3,25.2,7.6,16.7
15.46,0.066,11.87764253,0.093,726.64,54.84,0.00,904.4525312,0,3,0.06,2,0,11.3,3.3,25.5,7.5,10
16.96,0.052,9.066331116,0.151,644.06,55.99,2382.23,666.599697,0,3,0,9,0,29.5,8.2,45.4,3.7,12.1
10.95,0.059,11.94555799,0.099,566.39,69.61,0.00,731.526842,1.4,1.2,0.395,0,0.5,13.9,10.2,23.2,5.9,18
19.31,0.060,6.066525025,0.003,748.69,42.02,37.82,184.8792201,0,2,0.11,16,11,14.4,NA,51.7,9.1,18.1
12.58,0.048,11.42619376,0.140,409.36,43.54,0.00,630.7560778,7.05,5.8,1.01,0,0.4,20.7,6.5,31.9,2.6,17.5
14.74,0.064,7.450264243,0.060,432.93,23.87,79.83,872.8805435,0.25,0,0.2,9,0,13.4,18.6,46.5,11.8,19.8
12.25,0.042,10.07195805,0.384,338.50,71.82,0.00,785.6292223,0,0,0.315,8,0,21.8,10.3,25,6.1,17.1
16.34,0.050,11.93784847,0.190,660.04,82.08,0.00,1167.673798,0,12,0.235,0,0.7,10.3,2.6,16.8,3.5,17.4
8.66,0.045,11.81420468,0.133,479.44,64.29,0.00,2541.068596,0,11,0.2,0,0,27.9,27.9,38.4,4.6,28.1
9.36,0.029,9.409199301,0.143,110.41,84.37,0.00,106.5291818,0,8.15,0.15,11,0,32.4,18.7,50.9,6.6,31
11.63,0.034,8.68510442,0.507,110.41,72.63,0.00,1451.44946,0,24.5,0.115,6,0,14,7.1,30.8,4.3,21.5
14.98,0.034,5.626050599,0.079,430.30,31.53,924.88,728.6342552,0,2,0.4,6,0,34.5,11.6,41.2,9.9,20.5
12.7,0.048,12.15043083,0.184,605.31,53.24,0.00,748.8222145,7,0,0.375,0,0.45,13.9,5.2,27.3,9,18.7
22.16,0.062,12.70287468,0.124,693.83,32.11,0.00,688.7430793,0,0,0.1,0,0,11.3,3.4,25.1,5.5,16.6
9.83,0.048,11.61290153,0.098,409.36,50.80,0.00,825.4731032,0,12,0.38,0,2,26.6,11.9,31.3,3,18.7
22.91,0.057,8.967638595,0.002,516.52,31.27,0.00,59.00017585,4,31,0.3,3,21,8.6,1.7,43.7,9.4,20.5
11.29,0.046,9.134562722,0.901,265.26,60.86,0.00,1421.08599,34.85,64.5,0.445,0,0,8,3.6,32.6,4.4,18.3
